# Created: Thu Jul 31 11:24:20 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.20
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.20.csv
#	metrics-output:	results/terasort/metrics-0.20.csv
#
# Points picked
# 	(2.0, 30.0, 6.0)
# 	(2.0, 50.0, 7.0)
# 	(1.0, 10.0, 3.0)
# 	(4.0, 30.0, 4.0)
# 	(1.0, 20.0, 9.0)
# 	(2.0, 40.0, 8.0)
# 	(2.0, 30.0, 3.0)
# 	(2.0, 30.0, 5.0)
# 	(2.0, 30.0, 10.0)
# 	(1.0, 20.0, 5.0)
# 	(2.0, 50.0, 10.0)
# 	(4.0, 20.0, 5.0)
# 	(1.0, 20.0, 3.0)
# 	(4.0, 30.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(1.0, 10.0, 5.0)
# 	(2.0, 50.0, 8.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 50.0, 6.0)
# 	(1.0, 30.0, 9.0)
# 	(4.0, 30.0, 10.0)
# 	(4.0, 40.0, 9.0)
# 	(4.0, 10.0, 6.0)
# 	(2.0, 30.0, 2.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
4.0	10.0	6.0	93.8700	153.7878	232.8345	166.0730	179.4743	189.7131	39.3625	160.7259	170.5311	156.7188	
4.0	20.0	6.0	206.5600	157.2638	247.8352	166.0729	179.4743	189.7131	63.8797	160.7259	170.5311	156.7188	
4.0	30.0	6.0	220.8300	160.3018	120.7193	166.0727	216.9330	189.7131	88.3969	160.7259	170.5311	156.7188	
4.0	40.0	6.0	221.3000	161.0130	108.5569	166.0726	195.3238	189.7131	112.9141	160.7259	170.5311	156.7188	
4.0	50.0	6.0	173.5000	160.8744	109.5443	166.0725	195.3238	189.7131	137.4313	160.7259	170.5311	156.7188	
1.0	10.0	7.0	80.2900	152.7993	125.3457	237.1342	227.0986	215.8997	136.8699	252.7906	272.4011	142.6661	
1.0	20.0	7.0	122.0600	186.2550	131.0668	236.9964	227.0986	215.8997	161.3871	252.7906	272.4011	196.7554	
1.0	30.0	7.0	152.8100	234.4892	163.9122	236.8021	258.2828	215.8997	185.9044	252.7906	272.4011	487.6880	
1.0	40.0	7.0	193.4800	284.5621	285.6850	236.5362	293.7414	215.8997	210.4216	252.7906	272.4011	487.6880	
1.0	50.0	7.0	799.6200	321.6860	374.3757	236.1768	293.7414	215.8997	234.9388	252.7906	272.4011	487.6880	
2.0	10.0	7.0	64.4800	137.1473	129.2416	231.6415	216.0137	189.7131	99.5065	222.1024	192.6867	156.7188	
2.0	20.0	7.0	88.3300	158.2568	153.8521	231.0936	216.0137	189.7131	124.0237	222.1024	192.6867	156.7188	
2.0	30.0	7.0	112.3300	190.3480	255.1385	230.3330	249.6029	189.7131	148.5410	222.1024	192.6867	156.7188	
2.0	40.0	7.0	129.3400	224.5164	348.8564	229.3139	227.9937	189.7131	173.0582	222.1024	192.6867	156.7188	
2.0	50.0	7.0	151.7200	251.4028	170.0240	227.9752	227.9937	189.7131	197.5754	222.1024	192.6867	156.7188	
4.0	10.0	7.0	52.9000	164.6126	203.5810	166.0729	179.4743	189.7131	24.7797	160.7259	170.5311	156.7188	
4.0	20.0	7.0	63.4200	168.0353	286.3025	166.0728	179.4743	189.7131	49.2970	160.7259	170.5311	156.7188	
