# Created: Fri Aug 01 15:30:26 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.19
#	output:	results/terasort/values-0.19.csv
#	metrics-output:	results/terasort/metrics-0.19.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 50.0, 8.0)
# 	(2.0, 50.0, 9.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	50.0	7.0	250.6200	164.3002	243.7297	234.0983	165.3243	203.9120	167.4771	218.4143	230.4761	174.0142	
2.0	10.0	7.0	64.4800	164.3002	109.4430	156.9646	165.3243	107.9391	167.4771	169.9662	99.9573	4.2869	
2.0	20.0	7.0	88.3300	164.3002	121.3902	156.9646	165.3243	107.9391	167.4771	169.9662	123.5679	20.4673	
2.0	30.0	7.0	112.3300	164.3002	142.9182	156.9646	165.3243	108.2280	167.4771	186.3364	147.1785	43.5675	
2.0	40.0	7.0	129.3400	164.3002	167.7704	192.1292	165.3243	200.3698	167.4771	200.5417	170.7891	74.8436	
2.0	50.0	7.0	151.7200	164.3002	188.7598	192.1292	165.3243	203.9242	167.4771	200.5417	194.3997	114.3699	
4.0	10.0	7.0	52.9000	164.3002	79.9777	133.5019	165.3243	107.9391	139.7930	138.1518	27.8044	-16.9915	
4.0	20.0	7.0	63.4200	164.3002	78.7184	133.5019	165.3243	107.9391	139.7930	138.1518	51.4150	-11.5580	
4.0	30.0	7.0	76.1400	164.3002	87.3864	133.5019	165.3243	108.2745	139.7930	138.1518	75.0256	-3.1669	
4.0	40.0	7.0	92.0200	164.3002	103.1453	158.4213	165.3243	200.8514	139.7930	163.0335	98.6362	9.5499	
4.0	50.0	7.0	126.5500	164.3002	121.7511	158.4213	165.3243	203.9272	139.7930	163.0335	122.2467	28.2894	
1.0	10.0	8.0	84.5100	144.3549	135.1044	168.4822	121.9410	107.9391	167.4771	153.6551	125.3705	28.4142	
1.0	20.0	8.0	107.5200	144.3549	152.4773	168.4822	121.9410	107.9391	167.4771	153.6551	148.9810	54.1855	
1.0	30.0	8.0	142.7300	144.3549	177.8215	168.4822	121.9410	108.0866	167.4771	170.0254	172.5916	87.8203	
1.0	40.0	8.0	178.7000	144.3549	203.9354	214.3936	121.9410	197.1767	167.4771	202.1032	196.2022	128.3060	
1.0	50.0	8.0	236.4800	144.3549	223.1051	214.3936	121.9410	203.9039	167.4771	202.1032	219.8128	172.6588	
2.0	10.0	8.0	56.4400	144.3549	102.8557	137.2599	121.9410	107.9391	167.4771	153.6551	89.2940	4.8896	
2.0	20.0	8.0	73.5000	144.3549	110.9776	137.2599	121.9410	107.9391	167.4771	153.6551	112.9046	21.2492	
2.0	30.0	8.0	92.7600	144.3549	128.4083	137.2599	121.9410	108.1721	167.4771	170.0254	136.5152	44.4328	
2.0	40.0	8.0	114.5700	144.3549	149.9677	172.4245	121.9410	199.5487	167.4771	184.2306	160.1258	75.4779	
2.0	50.0	8.0	136.9900	144.3549	169.5343	172.4245	121.9410	203.9191	167.4771	184.2306	183.7363	114.0822	
4.0	10.0	8.0	51.7300	144.3549	78.7769	115.8955	121.9410	107.9391	83.2414	128.7655	17.1411	-16.9532	
4.0	20.0	8.0	60.3200	144.3549	74.8852	115.8955	121.9410	107.9391	83.2414	128.7655	40.7516	-11.5162	
4.0	30.0	8.0	90.0200	144.3549	80.3187	115.8955	121.9410	108.2096	83.2414	128.7655	64.3622	-3.1452	
4.0	40.0	8.0	96.5300	144.3549	93.1016	140.8149	121.9410	200.1364	83.2414	153.6472	87.9728	9.4817	
4.0	50.0	8.0	105.4300	144.3549	109.9296	140.8149	121.9410	203.9228	83.2414	153.6472	111.5834	27.9545	
1.0	10.0	9.0	84.2700	124.4096	129.3450	168.4822	121.9410	107.9391	167.4771	153.6551	114.7071	30.1491	
1.0	20.0	9.0	121.5000	124.4096	143.3847	168.4822	121.9410	107.9391	167.4771	153.6551	138.3177	56.4333	
1.0	30.0	9.0	150.8700	124.4096	165.1920	168.4822	121.9410	108.0482	167.4771	170.0254	161.9283	90.4340	
1.0	40.0	9.0	158.6200	124.4096	188.4990	214.3936	121.9410	195.0088	167.4771	206.1492	185.5389	130.8729	
1.0	50.0	9.0	218.6400	124.4096	206.4969	214.3936	121.9410	203.8893	167.4771	206.1492	209.1495	174.4773	
2.0	10.0	9.0	58.9600	124.4096	99.5161	137.2599	121.9410	107.9391	167.4771	153.6551	78.6307	5.9064	
2.0	20.0	9.0	74.2100	124.4096	104.7016	137.2599	121.9410	107.9391	167.4771	153.6551	102.2412	22.6800	
2.0	30.0	9.0	94.0700	124.4096	118.7968	137.2599	121.9410	108.1114	167.4771	170.0254	125.8518	46.3091	
2.0	40.0	9.0	115.4700	124.4096	137.5071	172.4245	121.9410	198.0907	167.4771	184.2306	149.4624	77.6824	
2.0	50.0	9.0	130.9600	124.4096	155.6182	172.4245	121.9410	203.9099	167.4771	184.2306	173.0730	116.2352	
4.0	10.0	9.0	47.7800	124.4096	80.4371	115.8955	121.9410	107.9391	83.2414	128.7655	6.4777	-16.6915	
4.0	20.0	9.0	54.1300	124.4096	74.7621	115.8955	121.9410	107.9391	83.2414	128.7655	30.0883	-11.1182	
4.0	30.0	9.0	72.4400	124.4096	77.7123	115.8955	121.9410	108.1392	83.2414	128.7655	53.6989	-2.5568	
4.0	40.0	9.0	76.0600	124.4096	87.9822	140.8149	121.9410	198.8624	83.2414	153.6472	77.3095	10.3116	
4.0	50.0	9.0	92.1400	124.4096	103.0453	140.8149	121.9410	203.9148	83.2414	153.6472	100.9201	29.0376	
1.0	10.0	10.0	87.0600	104.4643	126.4529	168.4822	121.9410	107.9391	167.4771	153.6551	104.0438	32.1502	
