# Created: Fri Aug 01 15:30:17 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.16
#	output:	results/terasort/values-0.16.csv
#	metrics-output:	results/terasort/metrics-0.16.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
2.0	40.0	5.0	158.8800	220.6399	224.5235	206.8664	164.6750	230.4713	305.1480	211.5957	196.1520	117.0290	
2.0	50.0	5.0	191.0900	220.6399	250.6650	206.8664	164.6750	230.7688	305.1480	211.5957	221.3331	192.5853	
4.0	10.0	5.0	51.2800	128.6252	91.4840	157.0575	164.6750	229.9846	137.2514	120.3098	45.8255	-4.5231	
4.0	20.0	5.0	71.6400	128.6252	96.9426	157.0575	164.6750	230.4918	137.2514	122.1168	71.0066	3.2446	
4.0	30.0	5.0	97.8800	128.6252	113.9704	157.0575	164.6750	230.8818	137.2514	140.8137	96.1876	17.6994	
4.0	40.0	5.0	100.7400	128.6252	137.5200	176.4348	164.6750	231.1817	137.2514	161.9140	121.3686	43.7833	
4.0	50.0	5.0	124.5700	128.6252	160.8771	176.4348	164.6750	231.4111	137.2514	161.9140	146.5497	87.8622	
1.0	10.0	6.0	90.7600	266.6473	156.3350	180.6162	164.6750	177.7626	305.1480	188.7557	147.4370	19.0314	
1.0	20.0	6.0	125.4400	266.6473	183.3928	180.6162	164.6750	181.7748	305.1480	188.7557	172.6181	47.3111	
1.0	30.0	6.0	174.1600	266.6473	219.7395	180.6162	164.6750	185.3516	305.1480	196.3590	197.7991	94.0720	
1.0	40.0	6.0	247.1600	266.6473	255.2884	206.8664	164.6750	188.4568	305.1480	231.9095	222.9802	161.0475	
1.0	50.0	6.0	296.7600	266.6473	279.2867	206.8664	164.6750	191.0784	305.1480	231.9095	248.1612	239.7204	
2.0	10.0	6.0	67.8700	220.6399	121.5561	180.6162	164.6750	187.2087	305.1480	151.7694	110.0454	6.3373	
2.0	20.0	6.0	88.4400	220.6399	139.8705	180.6162	164.6750	191.1850	305.1480	151.7694	135.2264	24.4730	
2.0	30.0	6.0	113.0500	220.6399	169.2591	180.6162	164.6750	194.6306	305.1480	159.3726	160.4074	56.6837	
2.0	40.0	6.0	145.1200	220.6399	201.3930	206.8664	164.6750	197.5491	305.1480	201.5615	185.5885	108.4581	
2.0	50.0	6.0	169.2200	220.6399	226.7683	206.8664	164.6750	199.9621	305.1480	201.5615	210.7695	179.5981	
4.0	10.0	6.0	50.8700	128.6252	84.9961	157.0575	164.6750	193.9294	137.2514	120.3098	35.2620	-6.2228	
