nodes	cores	mem	size	time
16	4	8192	5	56
16	4	8192	10	67
16	4	8192	15	74
16	4	8192	20	97
16	4	8192	25	118
16	4	8192	30	137
16	4	8192	35	170
16	4	8192	40	192
16	4	8192	45	189
16	4	8192	50	225
16	4	6144	5	48
16	4	6144	10	65
16	4	6144	15	86
16	4	6144	20	113
16	4	6144	25	119
16	4	6144	30	146
16	4	6144	35	174
16	4	6144	40	184
16	4	6144	45	214
16	4	6144	50	237
16	4	4096	5	56
16	4	4096	10	114
16	4	4096	15	91
16	4	4096	20	122
16	4	4096	25	150
16	4	4096	30	170
16	4	4096	35	199
16	4	4096	40	222
16	4	4096	45	242
16	4	4096	50	282
16	4	2048	5	52
16	4	2048	10	116
16	4	2048	15	144
16	4	2048	20	195
16	4	2048	25	240
16	4	2048	30	285
16	4	2048	35	325
16	4	2048	40	367
16	4	2048	45	416
16	4	2048	50	470
16	2	8192	5	60
16	2	8192	10	63
16	2	8192	15	70
16	2	8192	20	95
16	2	8192	25	122
16	2	8192	30	132
16	2	8192	35	166
16	2	8192	40	184
16	2	8192	45	202
16	2	8192	50	230
16	2	6144	5	50
16	2	6144	10	67
16	2	6144	15	86
16	2	6144	20	116
16	2	6144	25	128
16	2	6144	30	149
16	2	6144	35	177
16	2	6144	40	191
16	2	6144	45	209
16	2	6144	50	244
16	2	4096	5	47
16	2	4096	10	82
16	2	4096	15	90
16	2	4096	20	128
16	2	4096	25	153
16	2	4096	30	177
16	2	4096	35	198
16	2	4096	40	225
16	2	4096	45	242
16	2	4096	50	282
16	2	2048	5	47
16	2	2048	10	106
16	2	2048	15	141
16	2	2048	20	191
16	2	2048	25	238
16	2	2048	30	283
16	2	2048	35	334
16	2	2048	40	377
16	2	2048	45	418
16	2	2048	50	469
14	8	8192	5	60
14	8	8192	10	69
14	8	8192	15	88
14	8	8192	20	111
14	8	8192	25	135
14	8	8192	30	158
14	8	8192	35	201
14	8	8192	40	209
14	8	8192	45	221
14	8	8192	50	257
14	8	6144	5	51
14	8	6144	10	74
14	8	6144	15	91
14	8	6144	20	117
14	8	6144	25	143
14	8	6144	30	167
14	8	6144	35	207
14	8	6144	40	225
14	8	6144	45	236
14	8	6144	50	270
14	8	4096	5	45
14	8	4096	10	80
14	8	4096	15	110
14	8	4096	20	131
14	8	4096	25	165
14	8	4096	30	200
14	8	4096	35	229
14	8	4096	40	249
14	8	4096	45	282
14	8	4096	50	308
14	8	2048	5	71
14	8	2048	10	116
14	8	2048	15	156
14	8	2048	20	224
14	8	2048	25	271
14	8	2048	30	334
14	8	2048	35	385
14	8	2048	40	432
14	8	2048	45	476
14	8	2048	50	541
14	6	8192	5	65
14	6	8192	10	69
14	6	8192	15	98
14	6	8192	20	104
14	6	8192	25	136
14	6	8192	30	162
14	6	8192	35	189
14	6	8192	40	211
14	6	8192	45	223
14	6	8192	50	252
14	6	6144	5	56
14	6	6144	10	80
14	6	6144	15	23
14	6	6144	20	129
14	6	6144	25	161
14	6	6144	30	190
14	6	6144	35	226
14	6	6144	40	244
14	6	6144	45	269
14	6	6144	50	305
14	6	4096	5	57
14	6	4096	10	84
14	6	4096	15	111
14	6	4096	20	153
14	6	4096	25	194
14	6	4096	30	228
14	6	4096	35	262
14	6	4096	40	298
14	6	4096	45	331
14	6	4096	50	374
14	6	2048	5	73
14	6	2048	10	140
14	6	2048	15	188
14	6	2048	20	253
14	6	2048	25	331
14	6	2048	30	389
14	6	2048	35	465
14	6	2048	40	537
14	6	2048	45	595
14	6	2048	50	657
14	4	8192	5	61
14	4	8192	10	72
14	4	8192	15	29
14	4	8192	20	121
14	4	8192	25	149
14	4	8192	30	173
14	4	8192	35	203
14	4	8192	40	224
14	4	8192	45	251
14	4	8192	50	276
14	4	6144	5	53
14	4	6144	10	80
14	4	6144	15	96
14	4	6144	20	131
14	4	6144	25	152
14	4	6144	30	189
14	4	6144	35	216
14	4	6144	40	240
14	4	6144	45	263
14	4	6144	50	302
14	4	4096	5	50
14	4	4096	10	83
14	4	4096	15	24
14	4	4096	20	153
14	4	4096	25	190
14	4	4096	30	228
14	4	4096	35	262
14	4	4096	40	296
14	4	4096	45	323
14	4	4096	50	359
14	4	2048	5	58
14	4	2048	10	28
14	4	2048	15	114
14	4	2048	20	161
14	4	2048	25	200
14	4	2048	30	242
14	4	2048	35	280
14	4	2048	40	312
14	4	2048	45	337
14	4	2048	50	387
