nodes	cores	mem	size	class	time
16	6	2048	1500000	50	343
16	6	2048	1500000	100	329
16	6	2048	1500000	150	328
16	6	2048	1500000	200	325
16	6	2048	2000000	50	535
16	6	2048	2000000	100	527
16	6	2048	2000000	150	530
16	6	2048	2000000	200	526
16	6	2048	2500000	50	567
16	6	2048	2500000	100	601
16	6	2048	2500000	150	586
16	6	2048	2500000	200	598
16	4	8192	500000	50	90
16	4	8192	500000	100	93
16	4	8192	500000	150	91
16	4	8192	500000	200	90
16	4	8192	1000000	50	119
16	4	8192	1000000	100	114
16	4	8192	1000000	150	119
16	4	8192	1000000	200	140
16	4	8192	1500000	50	159
16	4	8192	1500000	100	165
16	4	8192	1500000	150	143
16	4	8192	1500000	200	150
16	4	8192	2000000	50	184
16	4	8192	2000000	100	172
16	4	8192	2000000	150	192
16	4	8192	2000000	200	177
16	4	8192	2500000	50	209
16	4	8192	2500000	100	192
16	4	8192	2500000	150	199
16	4	8192	2500000	200	205
16	4	6144	500000	50	91
16	4	6144	500000	100	98
16	4	6144	500000	150	97
16	4	6144	500000	200	89
16	4	6144	1000000	50	126
16	4	6144	1000000	100	126
16	4	6144	1000000	150	119
16	4	6144	1000000	200	130
16	4	6144	1500000	50	157
16	4	6144	1500000	100	153
16	4	6144	1500000	150	142
16	4	6144	1500000	200	146
16	4	6144	2000000	50	182
16	4	6144	2000000	100	179
16	4	6144	2000000	150	178
16	4	6144	2000000	200	174
16	4	6144	2500000	50	189
16	4	6144	2500000	100	192
16	4	6144	2500000	150	188
16	4	6144	2500000	200	192
16	4	4096	500000	50	84
16	4	4096	500000	100	93
16	4	4096	500000	150	84
16	4	4096	500000	200	81
16	4	4096	1000000	50	113
16	4	4096	1000000	100	121
16	4	4096	1000000	150	120
16	4	4096	1000000	200	120
16	4	4096	1500000	50	144
16	4	4096	1500000	100	134
16	4	4096	1500000	150	136
16	4	4096	1500000	200	139
16	4	4096	2000000	50	240
16	4	4096	2000000	100	233
16	4	4096	2000000	150	245
16	4	4096	2000000	200	226
16	4	4096	2500000	50	267
16	4	4096	2500000	100	276
16	4	4096	2500000	150	280
16	4	4096	2500000	200	278
16	4	2048	500000	50	96
16	4	2048	500000	100	98
16	4	2048	500000	150	101
16	4	2048	500000	200	106
16	4	2048	1000000	50	135
16	4	2048	1000000	100	134
16	4	2048	1000000	150	142
16	4	2048	1000000	200	168
16	4	2048	1500000	50	326
16	4	2048	1500000	100	349
16	4	2048	1500000	150	322
16	4	2048	1500000	200	333
16	4	2048	2000000	50	529
16	4	2048	2000000	100	529
16	4	2048	2000000	150	524
16	4	2048	2000000	200	530
16	4	2048	2500000	50	603
16	4	2048	2500000	100	589
16	4	2048	2500000	150	608
16	4	2048	2500000	200	597
16	2	8192	500000	50	116
16	2	8192	500000	100	91
16	2	8192	500000	150	93
16	2	8192	500000	200	107
16	2	8192	1000000	50	119
16	2	8192	1000000	100	126
16	2	8192	1000000	150	123
16	2	8192	1000000	200	129
16	2	8192	1500000	50	157
16	2	8192	1500000	100	158
16	2	8192	1500000	150	139
16	2	8192	1500000	200	150
16	2	8192	2000000	50	174
16	2	8192	2000000	100	179
16	2	8192	2000000	150	189
16	2	8192	2000000	200	183
16	2	8192	2500000	50	193
16	2	8192	2500000	100	206
16	2	8192	2500000	150	203
16	2	8192	2500000	200	202
16	2	6144	500000	50	110
16	2	6144	500000	100	91
16	2	6144	500000	150	92
16	2	6144	500000	200	100
16	2	6144	1000000	50	123
16	2	6144	1000000	100	126
16	2	6144	1000000	150	120
16	2	6144	1000000	200	126
16	2	6144	1500000	50	141
16	2	6144	1500000	100	147
16	2	6144	1500000	150	148
16	2	6144	1500000	200	155
16	2	6144	2000000	50	179
16	2	6144	2000000	100	175
