# Created: Fri Aug 01 15:38:45 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.05
#	output:	results/pagerank/values-0.05.csv
#	metrics-output:	results/pagerank/metrics-0.05.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
2.0	80.0	5.0	117.3000	146.2358	156.2751	150.5542	174.2275	139.2762	90.2525	165.6649	137.8221	133.5796	
2.0	90.0	5.0	126.7800	146.2358	166.1354	150.5542	174.2275	151.7987	90.2525	165.6649	143.0856	149.7929	
2.0	100.0	5.0	134.8100	146.2358	172.2601	150.5542	174.2275	160.8300	90.2525	165.6649	148.3491	171.0411	
4.0	50.0	5.0	66.8200	90.2525	97.7101	113.9258	90.2525	103.6500	90.2525	115.1150	80.1266	79.0515	
4.0	60.0	5.0	65.9200	90.2525	99.4205	113.9258	90.2525	112.6813	90.2525	115.1150	85.3901	81.4713	
4.0	70.0	5.0	74.8100	90.2525	103.6034	113.9258	90.2525	125.2038	90.2525	115.1150	90.6536	84.4041	
4.0	80.0	5.0	71.3700	90.2525	109.3705	125.3618	90.2525	139.2762	90.2525	124.1164	95.9171	88.0796	
4.0	90.0	5.0	83.7000	90.2525	115.6051	125.3618	90.2525	151.7987	90.2525	124.1164	101.1806	92.8496	
4.0	100.0	5.0	89.5600	90.2525	121.3103	125.3618	90.2525	160.8300	90.2525	124.1164	106.4441	99.2371	
1.0	50.0	6.0	131.5700	174.2275	133.9500	139.1183	174.2275	103.6500	129.3450	156.6635	139.9512	121.9433	
1.0	60.0	6.0	139.2100	174.2275	143.8297	139.1183	174.2275	112.6813	219.1100	156.6635	145.2147	131.8573	
